SKU_ID,Item_Cost,Item_Count,Total_Cost,Lead_Time,Shelf_Life,EOQ,Lead_Time_Variability,Seasonality,Warehouse_Location,Customer_Reviews,Historical_Sales_Data,Demand_Fluctuation,ABC_Classification
SKU0084,18.6,100,1860,7,150,85,low,none,A1,4.8,120,decreasing,C
SKU0085,9.75,180,1755,4,180,150,medium,none,B2,4.3,210,increasing,A
SKU0086,7.2,240,1728,5,365,205,medium,seasonal,C3,3.8,260,stable,B
SKU0087,23.1,80,1848,2,180,70,low,none,A1,4.2,100,decreasing,C
SKU0088,10.95,170,1856.5,6,240,145,high,none,B2,4.5,200,increasing,A
SKU0089,6.6,300,1980,3,365,265,high,seasonal,C3,3.7,340,increasing,C
SKU0090,16.9,130,2197,5,180,115,low,none,A1,4.4,160,increasing,A
SKU0091,14.25,150,2137.5,4,150,140,medium,none,B2,4.1,180,increasing,B
SKU0092,8.75,220,1925,7,365,180,medium,seasonal,C3,3.5,260,increasing,C
SKU0093,4.8,380,1824,6,180,300,high,none,A1,4.7,420,stable,B
SKU0094,19.7,90,1773,4,240,75,low,none,B2,4.2,110,decreasing,C
SKU0095,12.4,180,2232,5,365,160,medium,none,C3,3.9,200,increasing,C
SKU0096,11.25,190,2137.5,3,180,165,medium,seasonal,A1,4.5,220,increasing,A
SKU0097,7.9,260,2054,6,240,235,high,none,B2,4,300,increasing,C
SKU0098,5.4,320,1728,5,180,255,high,seasonal,C3,3.8,340,increasing,C
SKU0099,21.5,100,2150,4,365,95,low,none,A1,4.6,120,decreasing,C
SKU0100,13.4,130,1742,4,180,120,low,none,B2,4.2,160,increasing,B
SKU0101,11.2,240,2688,5,180,220,medium,seasonal,A1,4.4,280,increasing,A
SKU0102,7.85,210,1648.5,6,240,185,high,none,B2,4.1,260,increasing,C
SKU0103,6.3,320,2016,3,180,275,high,seasonal,C3,3.9,350,increasing,C
SKU0104,17.9,120,2148,7,150,95,low,none,A1,4.8,140,decreasing,C
SKU0105,8.6,190,1634,4,180,150,medium,none,B2,4.3,210,increasing,A
SKU0106,6.75,230,1552.5,5,365,195,medium,seasonal,C3,3.8,280,stable,B
SKU0107,22.4,80,1792,2,180,70,low,none,A1,4.2,100,decreasing,C
SKU0108,9.45,160,1512,6,240,135,high,none,B2,4.5,180,increasing,A
SKU0109,7.1,290,2069,3,365,255,high,seasonal,C3,3.7,330,increasing,C
SKU0110,16.3,150,2445,5,180,130,low,none,A1,4.4,170,increasing,A
SKU0111,13.75,170,2337.5,4,150,140,medium,none,B2,4.1,190,increasing,B
SKU0112,9,250,2250,7,365,200,medium,seasonal,C3,3.5,270,increasing,C
SKU0113,4.5,390,1755,6,180,300,high,none,A1,4.7,420,stable,B
SKU0114,18.9,80,1512,4,240,75,low,none,B2,4.2,100,decreasing,C
SKU0115,11.6,170,1972,5,365,160,medium,none,C3,3.9,190,increasing,C
SKU0116,10.75,180,1935,3,180,165,medium,seasonal,A1,4.5,210,increasing,A
SKU0117,7.4,250,1850,6,240,235,high,none,B2,4,300,increasing,C
SKU0118,5.2,330,1716,5,180,255,high,seasonal,C3,3.8,350,increasing,C
SKU0119,20.3,110,2233,4,365,105,low,none,A1,4.6,130,decreasing,C
SKU0120,12.1,120,1452,4,180,120,low,none,B2,4.2,160,increasing,B
SKU0121,8.9,280,2492,5,150,260,medium,seasonal,C3,3.9,320,increasing,C
SKU0122,6.85,230,1575.5,6,180,195,high,none,A1,4.4,280,increasing,A
SKU0123,5.4,320,1728,3,240,275,high,seasonal,B2,4.1,350,increasing,C
SKU0124,16.1,130,2093,7,150,115,low,none,C3,3.8,160,increasing,A
SKU0125,14.45,150,2167.5,4,180,140,medium,none,A1,4.5,180,increasing,B
SKU0126,8.2,220,1804,5,365,200,medium,seasonal,C3,4,260,increasing,B
SKU0127,11.8,160,1888,6,180,140,low,none,A1,4.3,180,decreasing,C
SKU0128,9.95,210,2086.5,3,240,185,medium,seasonal,B2,4.2,250,increasing,C
SKU0129,5.6,350,1960,7,150,315,high,none,A1,4.6,380,increasing,C
SKU0130,7.4,190,1406,4,180,160,low,none,B2,4,200,increasing,A
SKU0131,6.75,240,1620,5,365,225,medium,seasonal,C3,3.8,290,stable,B
SKU0132,21.9,100,2190,2,180,85,low,none,A1,4.1,120,decreasing,C
SKU0133,9.75,170,1657.5,6,240,155,high,none,B2,4.4,190,increasing,A
SKU0134,7.5,280,2100,3,365,260,high,seasonal,C3,3.6,330,increasing,C
SKU0135,15.8,140,2212,5,180,125,low,none,A1,4.3,150,increasing,A
SKU0136,14.25,160,2280,4,150,135,medium,none,B2,4,170,increasing,B
SKU0137,10.4,230,2392,7,365,210,medium,seasonal,C3,3.7,280,increasing,C
SKU0138,3.9,370,1443,6,180,295,high,none,A1,4.8,400,stable,B
SKU0139,19.5,90,1755,4,240,80,low,none,B2,4.1,100,decreasing,C
SKU0140,12.8,160,2048,5,365,155,medium,none,C3,3.9,180,increasing,C
SKU0141,10.25,180,1845,3,180,170,medium,seasonal,A1,4.6,200,increasing,A
SKU0142,6.9,240,1656,6,240,215,high,none,B2,4.2,280,increasing,C
SKU0143,5.1,310,1581,5,180,245,high,seasonal,C3,3.7,330,increasing,C
SKU0144,18.7,100,1870,4,365,95,low,none,A1,4.4,120,decreasing,C
SKU0145,13.95,130,1813.5,4,180,115,low,none,B2,4.2,140,increasing,B
SKU0146,8.6,260,2236,5,150,245,medium,seasonal,C3,3.9,290,increasing,C
SKU0147,7.35,300,2205,3,240,285,high,none,A1,4.3,350,increasing,C
SKU0148,4.8,360,1728,7,150,325,high,seasonal,B2,3.8,400,stable,B
SKU0149,16.6,120,1992,6,180,110,low,none,A1,4.5,140,increasing,A
SKU0150,15.25,140,2135,5,365,135,medium,none,C3,4,160,increasing,B
SKU0151,9.2,210,1932,4,240,190,medium,seasonal,A1,4.1,250,increasing,A
SKU0152,6.8,250,1700,5,365,235,high,none,B2,3.9,280,increasing,C
SKU0153,11.5,180,2070,3,180,165,medium,seasonal,C3,4.3,200,increasing,B
SKU0154,5.4,320,1728,7,150,300,high,none,A1,4.6,350,increasing,C
SKU0155,8.8,220,1936,4,365,200,medium,seasonal,B2,4,240,increasing,A
SKU0156,10.75,160,1720,6,180,140,low,none,A1,4.2,180,decreasing,C
SKU0157,9.05,200,1810,3,240,185,medium,seasonal,B2,4.1,220,increasing,A
SKU0158,6.4,340,2176,7,150,315,high,none,A1,4.5,380,increasing,C
SKU0159,8.7,250,2175,4,180,225,medium,seasonal,C3,3.8,260,stable,B
SKU0160,23.5,100,2350,2,180,85,low,none,A1,4.2,120,decreasing,C
SKU0161,11.25,190,2137.5,6,240,165,high,none,B2,4.3,200,increasing,C
SKU0162,8.9,280,2492,3,365,260,high,seasonal,C3,3.6,320,increasing,B
SKU0163,17.8,130,2314,5,180,120,low,none,A1,4.4,150,increasing,A
SKU0164,15.25,170,2592.5,4,150,150,medium,none,B2,4,190,increasing,B
SKU0165,10.9,240,2616,7,365,220,medium,seasonal,C3,3.7,270,increasing,C
SKU0166,4.5,380,1710,6,180,300,high,none,A1,4.7,400,stable,B
SKU0167,20.2,90,1818,4,240,80,low,none,B2,4,100,decreasing,C
SKU0168,13.4,150,2010,5,365,145,medium,none,C3,3.9,160,increasing,B
SKU0169,9.75,170,1667.5,3,180,155,medium,seasonal,A1,4.5,180,increasing,A
SKU0170,7.3,220,1606,6,240,200,high,none,B2,4.2,240,increasing,C
SKU0171,5.8,290,1679,5,180,230,high,seasonal,C3,3.8,280,increasing,C
SKU0172,19.1,100,1910,4,365,95,low,none,A1,4.4,110,decreasing,C
SKU0173,12.45,120,1494,4,180,110,low,none,B2,4.1,130,increasing,B
SKU0174,7.9,240,1896,5,150,215,medium,seasonal,C3,3.9,250,increasing,C
SKU0175,6.65,280,1862,3,240,265,high,none,A1,4.2,300,increasing,C
SKU0176,5.1,360,1836,7,150,330,high,seasonal,B2,3.8,380,stable,B
SKU0177,16.3,130,2119,6,180,115,low,none,A1,4.6,140,increasing,A
SKU0178,11.8,180,2124,4,240,160,medium,seasonal,B2,4,190,increasing,C
SKU0179,9.6,230,2208,5,365,210,medium,seasonal,C3,4.2,250,increasing,B
SKU0180,6.4,300,1920,4,180,280,high,none,A1,4.1,320,increasing,C
SKU0181,10.2,190,1938,3,240,175,medium,seasonal,B2,4,210,increasing,A
SKU0182,9.15,220,2013,7,150,205,medium,none,C3,4.3,250,increasing,C
SKU0183,7.8,260,2028,4,365,240,high,seasonal,A1,4.2,270,increasing,C
SKU0184,4.2,380,1596,6,180,315,high,none,B2,4.6,400,stable,B
SKU0185,18.9,100,1890,4,240,85,low,none,C3,3.9,120,decreasing,C
SKU0186,13.75,150,2062.5,5,180,135,low,none,A1,4.4,160,increasing,A
SKU0187,10.65,180,1917,3,180,165,medium,seasonal,B2,4.1,200,increasing,A
SKU0188,6.8,250,1700,5,365,235,high,none,C3,3.9,280,increasing,C
SKU0189,11.5,180,2070,3,180,165,medium,seasonal,A1,4.3,200,increasing,B
SKU0190,5.4,320,1728,7,150,300,high,none,B2,4.6,350,increasing,C
SKU0191,8.8,220,1936,4,365,200,medium,seasonal,A1,4,240,increasing,A
SKU0192,10.75,160,1720,6,180,140,low,none,C3,4.2,180,decreasing,C
SKU0193,9.05,200,1810,3,240,185,medium,seasonal,B2,4.1,220,increasing,A
SKU0194,6.4,340,2176,7,150,315,high,none,A1,4.5,380,increasing,C
SKU0195,8.7,250,2175,4,180,225,medium,seasonal,C3,3.8,260,stable,B
SKU0196,23.5,100,2350,2,180,85,low,none,B2,4.2,120,decreasing,C
SKU0197,11.25,190,2137.5,6,240,165,high,none,A1,4.3,200,increasing,C
SKU0198,8.9,280,2492,3,365,260,high,seasonal,C3,3.6,320,increasing,B
SKU0199,17.8,130,2314,5,180,120,low,none,A1,4.4,150,increasing,A
SKU0200,15.25,170,2592.5,4,150,150,medium,none,B2,4,190,increasing,B
SKU0201,12.75,180,2295,4,90,160,medium,none,A1,4.7,210,increasing,A
SKU0202,6,300,,7,365,280,medium,none,B2,4.1,320,stable,B
SKU0203,15.75,90,1417.5,2,120,70,high,none,C3,3.5,80,decreasing,C
SKU0204,8,250,2000,5,180,200,medium,seasonal,A1,4.8,,increasing,A
SKU0205,3,,1450,6,240,300,low,none,B2,4,400,stable,B
SKU0206,20,75,1500,,180,85,medium,none,C3,3.9,110,decreasing,C
SKU0207,12.75,120,1530,5,365,125,,none,A1,4.8,150,increasing,A
SKU0208,6,250,1500,7,120,,medium,seasonal,B2,4.2,280,stable,B
SKU0209,18.5,90,1665,4,180,85,low,none,C3,3.9,110,decreasing,C
SKU0210,9.25,180,1665,3,365,200,high,none,A1,4.6,220,increasing,A
SKU0211,14.25,220,3135,6,120,190,low,seasonal,A1,4.4,210,increasing,A
SKU0212,7.5,400,3000,7,180,250,medium,none,B2,4.2,450,stable,B
SKU0213,16,85,1360,3,90,75,high,none,C3,3.7,95,decreasing,C
SKU0214,9.75,180,1755,4,365,220,medium,none,A1,4.5,205,increasing,A
SKU0215,4.5,600,2700,5,240,350,medium,seasonal,B2,4.3,580,stable,B
SKU0216,21.5,70,1505,2,180,55,low,none,C3,3.3,65,decreasing,C
SKU0217,13,130,1690,5,365,135,medium,none,A1,4.6,160,increasing,A
SKU0218,7.25,280,2030,6,120,220,medium,seasonal,B2,4.1,260,stable,B
SKU0219,19.25,100,1925,3,180,90,low,none,C3,3.8,110,decreasing,C
SKU0220,10.5,200,2100,4,365,160,high,none,A1,4.7,190,increasing,A
SKU0221,14.25,220,3135,6,120,190,low,seasonal,A1,4.4,210,increasing,A
SKU0222,7.5,400,3000,7,180,250,medium,none,B2,4.2,450,stable,B
SKU0223,16,85,1360,3,90,75,high,none,C3,3.7,95,decreasing,C
SKU0224,9.75,180,1755,4,365,220,medium,none,A1,4.5,205,increasing,A
SKU0225,4.5,600,2700,5,240,350,medium,seasonal,B2,4.3,580,stable,B
SKU0226,21.5,70,1505,2,180,55,low,none,C3,3.3,65,decreasing,C
SKU0227,13,130,1690,5,365,135,medium,none,A1,4.6,160,increasing,A
SKU0228,7.25,280,2030,6,120,220,medium,seasonal,B2,4.1,260,stable,B
SKU0229,19.25,100,1925,3,180,90,low,none,C3,3.8,110,decreasing,C
SKU0230,10.5,200,2100,4,365,160,high,none,A1,4.7,190,increasing,A
SKU0231,14.25,220,3135,6,120,190,low,seasonal,A1,4.4,210,increasing,A
SKU0232,7.5,400,3000,7,180,250,medium,none,B2,4.2,450,stable,B
SKU0233,16,85,1360,3,90,75,high,none,C3,3.7,95,decreasing,C
SKU0234,9.75,180,1755,4,365,220,medium,none,A1,4.5,205,increasing,A
SKU0235,4.5,600,2700,5,240,350,medium,seasonal,B2,4.3,580,stable,B
SKU0236,21.5,70,1505,2,180,55,low,none,C3,3.3,65,decreasing,C
SKU0237,13,130,1690,5,365,135,medium,none,A1,4.6,160,increasing,A
SKU0238,7.25,280,2030,6,120,220,medium,seasonal,B2,4.1,260,stable,B
SKU0239,19.25,100,1925,3,180,90,low,none,C3,3.8,110,decreasing,C
SKU0240,10.5,200,2100,4,365,160,high,none,A1,4.7,190,increasing,A
SKU0241,50,50,2500,8,90,60,low,none,A1,4.2,70,increasing,A
SKU0242,3,1000,3000,10,365,700,high,seasonal,B2,4.5,900,stable,B
SKU0243,200,10,2000,1,30,12,medium,none,C3,3.8,5,decreasing,C
SKU0244,12,800,9600,15,180,400,low,none,A1,4.7,1200,increasing,A
SKU0245,1.5,2000,3000,20,240,800,high,seasonal,B2,4,1500,stable,B
SKU0246,40,,2000,6,180,200,medium,none,C3,3.5,250,decreasing,C
SKU0247,15,150,2250,,365,150,medium,none,A1,4.6,180,increasing,A
SKU0248,7.5,0,,5,120,0,low,none,B2,3.9,0,stable,B
SKU0249,22.5,80,1800,4,,80,high,seasonal,C3,3.6,90,decreasing,C
SKU0250,11.25,300,3375,3,365,250,low,none,A1,4.8,320,increasing,A
SKU0251,60,5,300,30,7,5,high,none,B2,3,10,stable,B
SKU0252,10,5000,50000,2,365,1000,low,seasonal,C3,3.2,4800,decreasing,C
SKU0253,5,500,2500,4,180,300,medium,none,A1,4.4,420,increasing,A
SKU0254,90,2,180,8,30,1,high,none,B2,2.5,3,stable,B
SKU0255,20,10000,200000,1,240,5000,low,seasonal,C3,3.1,9800,decreasing,C
SKU0256,100,3,300,12,7,2,medium,none,A1,4.5,5,increasing,A
SKU0257,15,150,2250,5,365,150,medium,none,B2,4.6,180,stable,B
SKU0258,7.5,0,,5,120,0,low,none,C3,3.7,0,decreasing,C
SKU0259,25,80,2000,4,,80,high,seasonal,A1,4.2,90,increasing,A
SKU0260,50,200,10000,3,365,500,low,none,B2,4.9,180,stable,B
SKU0261,8,150,,6,120,,medium,seasonal,C3,4.3,160,decreasing,C
SKU0262,14.5,200,2900,5,240,180,low,none,A1,4.1,210,increasing,A
SKU0263,18.75,120,2250,7,365,125,medium,none,B2,4,150,stable,B
SKU0264,9,,1350,4,180,150,medium,seasonal,C3,3.9,170,decreasing,C
SKU0265,22.5,80,1800,,240,85,low,none,A1,3.8,100,increasing,A
SKU0266,11.25,300,3375,3,365,250,low,none,B2,,320,stable,B
SKU0267,30,100,3000,5,90,120,high,none,C3,4.2,,decreasing,C
SKU0268,,2000,4000,6,180,400,medium,none,A1,4.7,1800,increasing,A
SKU0269,1.5,2000,3000,20,240,800,high,seasonal,B2,4.3,1500,stable,B
SKU0270,40,150,,7,365,130,medium,none,C3,4.5,160,decreasing,C
SKU0271,15,150,2250,5,365,150,medium,none,A1,4.6,180,increasing,A
SKU0272,7.5,,,5,120,0,low,none,B2,3.9,0,stable,B
SKU0273,22.5,80,1800,4,,80,high,seasonal,C3,3.6,90,decreasing,C
SKU0274,11.25,300,3375,3,365,250,low,none,A1,4.8,320,increasing,A
SKU0275,60,5,300,30,7,5,high,none,B2,3,10,stable,B
SKU0276,10,5000,50000,2,365,1000,low,seasonal,C3,3.2,4800,decreasing,C
SKU0277,5,500,2500,4,180,300,medium,none,A1,4.4,420,increasing,A
SKU0278,90,2,180,8,30,1,high,none,B2,2.5,3,stable,B
SKU0279,20,10000,200000,1,240,5000,low,seasonal,C3,3.1,9800,decreasing,C
SKU0280,100,3,300,12,7,2,medium,none,A1,4.5,5,increasing,A
SKU0281,12,800,9600,15,180,400,low,none,B2,4.7,1200,stable,B
SKU0282,1.5,2000,3000,20,240,800,high,seasonal,C3,4,1500,increasing,A
SKU0283,40,,2000,6,180,200,medium,none,A1,4.2,250,decreasing,C
SKU0284,15,150,2250,,365,150,medium,none,B2,4.6,180,stable,B
SKU0285,7.5,0,,5,120,0,low,none,C3,3.9,0,decreasing,C
SKU0286,22.5,80,1800,4,,80,high,seasonal,A1,3.6,90,increasing,A
SKU0287,11.25,300,3375,3,365,250,low,none,B2,4.8,320,stable,B
SKU0288,60,5,300,30,7,5,high,none,C3,3,10,decreasing,C
SKU0289,10,5000,50000,2,365,1000,low,seasonal,A1,3.2,4800,increasing,A
SKU0290,5,500,2500,4,180,300,medium,none,B2,4.4,420,stable,B
SKU0291,90,2,180,8,30,1,high,none,C3,2.5,3,decreasing,C
SKU0292,20,10000,200000,1,240,5000,low,seasonal,A1,3.1,9800,increasing,A
SKU0293,100,3,300,12,7,2,medium,none,B2,4.5,5,stable,B
SKU0294,12,800,9600,15,180,400,low,none,C3,4.7,1200,decreasing,C
SKU0295,1.5,2000,3000,20,240,800,high,seasonal,A1,4,1500,increasing,A
SKU0296,40,,2000,6,180,200,medium,none,B2,4.2,250,stable,B
SKU0297,15,150,2250,,365,150,medium,none,C3,4.6,180,decreasing,C
SKU0298,7.5,0,,5,120,0,low,none,A1,3.9,0,increasing,A
SKU0299,22.5,80,1800,4,,80,high,seasonal,B2,3.6,90,stable,B
SKU0300,11.25,300,3375,3,365,250,low,none,C3,4.8,320,decreasing,C
SKU0301,60,5,300,30,7,5,high,none,A1,3,10,increasing,A
SKU0302,10,5000,50000,2,365,1000,low,seasonal,B2,3.2,4800,stable,B
SKU0303,5,500,2500,4,180,300,medium,none,C3,4.4,420,decreasing,C
SKU0304,11.25,300,3375,3,365,250,low,none,B2,4.8,320,stable,B
SKU0305,60,5,300,30,7,5,high,none,C3,3,10,decreasing,C
SKU0306,10,5000,50000,2,365,1000,low,seasonal,A1,3.2,4800,increasing,A
SKU0307,5,500,2500,4,180,300,medium,none,B2,4.4,420,stable,B
SKU0308,90,2,180,8,30,1,high,none,C3,2.5,3,decreasing,C
SKU0309,20,10000,200000,1,240,5000,low,seasonal,A1,3.1,9800,increasing,A
SKU0310,100,3,300,12,7,2,medium,none,B2,4.5,5,stable,B
SKU0311,12,800,9600,15,180,400,low,none,C3,4.7,1200,decreasing,C
SKU0312,1.5,2000,3000,20,240,800,high,seasonal,A1,4,1500,increasing,A
SKU0313,40,150,6000,6,180,200,medium,none,B2,4.2,250,decreasing,C
SKU0314,15,150,2250,5,365,150,medium,none,C3,4.6,180,stable,B
SKU0315,7.5,0,0,5,120,0,low,none,A1,3.9,0,increasing,A
SKU0316,22.5,80,1800,4,240,80,high,seasonal,B2,3.6,90,decreasing,C
SKU0317,11.25,300,3375,3,365,250,low,none,A1,4.8,320,increasing,A
SKU0318,60,5,300,30,7,5,high,none,C3,3,10,stable,B
SKU0319,10,5000,50000,2,365,1000,low,seasonal,B2,3.2,4800,decreasing,C
SKU0320,5,500,2500,4,180,300,medium,none,A1,4.4,420,increasing,A
SKU0321,90,2,180,8,30,1,high,none,B2,2.5,3,stable,B
SKU0322,20,10000,200000,1,240,5000,low,seasonal,C3,3.1,9800,decreasing,C
SKU0323,100,3,300,12,7,2,medium,none,A1,4.5,5,increasing,A
SKU0324,12,800,9600,15,180,400,low,none,B2,4.7,1200,stable,B
SKU0325,1.5,2000,3000,20,240,800,high,seasonal,C3,4,1500,decreasing,C
SKU0326,40,150,6000,6,180,200,medium,none,A1,4.2,250,increasing,A
SKU0327,15,150,2250,5,365,150,medium,none,B2,4.6,180,stable,B
SKU0328,22.5,80,1800,4,240,80,high,seasonal,A1,3.6,90,increasing,A
SKU0329,11.25,300,3375,3,365,250,low,none,B2,4.8,320,stable,B
SKU0330,60,5,300,30,7,5,high,none,C3,3,10,decreasing,C
SKU0331,10,5000,50000,2,365,1000,low,seasonal,A1,3.2,4800,increasing,A
SKU0332,5,500,2500,4,180,300,medium,none,B2,4.4,420,stable,B
SKU0333,90,2,180,8,30,1,high,none,C3,2.5,3,decreasing,C
SKU0334,20,10000,200000,1,240,5000,low,seasonal,A1,3.1,9800,increasing,A
SKU0335,100,3,300,12,7,2,medium,none,B2,4.5,5,stable,B
SKU0336,12,800,9600,15,180,400,low,none,C3,4.7,1200,decreasing,C
SKU0337,1.5,2000,3000,20,240,800,high,seasonal,A1,4,1500,increasing,A
